Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_28_193.jpg;4.015203;0;0;0;99.66999;85.58897;0.0002425404;37.83972;-2.927513E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_28_259.jpg;8.019419;0;0;0;99.66999;85.58897;0.0002419307;39.16352;-3.816345E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_28_325.jpg;8.037586;0;0;0;99.66999;85.58897;0.0002401024;40.36922;-4.47701E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_28_391.jpg;8.104963;0;0;0;99.66999;85.58897;0.0002375686;42.54599;-5.377405E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_28_458.jpg;4.092164;0;0;0;99.66999;85.58897;0.0002369466;43.40362;-5.610698E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_28_524.jpg;8.100886;0;0;0;99.66999;85.58897;0.0002358931;44.62155;-5.846068E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_28_591.jpg;4.119658;0;0;0;99.66999;85.58897;0.0002352266;45.85027;-5.748471E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_28_659.jpg;0.1214361;0;0;0;99.66999;85.58897;0.0002351099;45.99145;-5.215274E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_28_725.jpg;0;0;0;0;99.66999;85.58897;0.0002349235;45.99145;-4.42857E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_28_791.jpg;0;0;0;0;99.66999;85.58897;0.0002353607;45.99145;-3.340412E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_28_857.jpg;0;0;0;0;99.66999;85.58897;0.0002356891;45.99145;-2.538663E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_28_923.jpg;0;0;0;0;99.66999;85.58897;0.0002359585;45.99145;-1.750806E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_28_990.jpg;0;0;0;0;99.66999;85.58897;0.00023605;45.99145;-9.758939E-06
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_29_059.jpg;0;0;0;0;99.66999;85.58897;0.0002362554;45.99145;-5.825335E-07
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_29_125.jpg;0;0;0;0;99.66999;85.58897;0.0002360541;45.99145;5.897215E-06
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_29_192.jpg;0;0;0;0;99.66999;85.58897;0.0002364835;45.99145;1.337999E-05
/home/seongyooncho/RoboND/RoboND-Rover-Project/IMG/robocam_2018_01_10_17_55_29_259.jpg;0;0;0;0;99.66999;85.58897;0.0002362094;45.99145;1.804614E-05
